what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1645009338739
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1645009338739
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1645009338739
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1645009338739
started,bundle,org.eclipse.linuxtools.cdt.autotools,2.0.0.201101251503,"org.eclipse.linuxtools.cdt.autotools",1645009338747
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.1.201101251503,"org.eclipse.linuxtools.cdt.autotools.core",1645009338747
started,bundle,com.telink.tc32eclipse.core,1.0.4.2,"com.telink.tc32eclipse.core",1645009338747
os,sysinfo,,,"win32",1645009338747
arch,sysinfo,,,"x86",1645009338747
ws,sysinfo,,,"win32",1645009338747
locale,sysinfo,,,"zh_CN",1645009338747
processors,sysinfo,,,"8",1645009338747
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1645009338747
java.runtime.version,sysinfo,,,"1.8.0_45-b14",1645009338747
java.specification.name,sysinfo,,,"Java Platform API Specification",1645009338747
java.specification.vendor,sysinfo,,,"Oracle Corporation",1645009338747
java.specification.version,sysinfo,,,"1.8",1645009338747
java.vendor,sysinfo,,,"Oracle Corporation",1645009338747
java.version,sysinfo,,,"1.8.0_45",1645009338747
java.vm.info,sysinfo,,,"mixed mode",1645009338747
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1645009338747
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1645009338747
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1645009338747
java.vm.specification.version,sysinfo,,,"1.8",1645009338747
java.vm.vendor,sysinfo,,,"Oracle Corporation",1645009338747
java.vm.version,sysinfo,,,"25.45-b02",1645009338747
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1645009390070
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1645009401574
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1645009401936
started,bundle,org.eclipse.linuxtools.cdt.libhover,1.0.3.201101251503,"org.eclipse.linuxtools.cdt.libhover",1645009402630
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645009407881
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645009771596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645009792971
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645009799779
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1645009802596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645009804386
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645010998073
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645011000093
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645011240868
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645011241957
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645011723133
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645011724096
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645011725456
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645011725512
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645011728536
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645011729732
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1645011731790
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1645011737084
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645011739046
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645011739087
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645011751978
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645011798762
